Column,Type,Default,Nullable,Description
id,integer,nextval('indicia.languages_id_seq'::regclass),No,
iso,character (3),,Yes,ISO 639-2 code for the language.
language,character varying (50),,Yes,Term used to describe the language in the system.
created_on,timestamp without time zone,,No,Date this record was created.
created_by_id,integer,,No,Foreign key to the users table (creator).
updated_on,timestamp without time zone,,No,Date this record was last updated.
updated_by_id,integer,,No,Foreign key to the users table (last updater).
deleted,boolean,false,No,Has this record been deleted?
